Date,pca
1888-03-01,-461.8331153470933
1888-04-01,-460.09715984914055
1888-05-01,-457.17719751483673
1888-06-01,-459.54080509887575
1888-07-01,-457.8868098952577
1888-08-01,-455.36207143423366
1888-09-01,-452.3754946751221
1888-10-01,-454.4599515426305
1888-11-01,-458.2973585569469
1888-12-01,-460.5569927216839
1889-01-01,-454.23322011718375
1889-02-01,-451.3953018101957
1889-03-01,-452.5351781312667
1889-04-01,-452.7706650210987
1889-05-01,-446.36179194335085
1889-06-01,-444.16447523799695
1889-07-01,-446.846586222426
1889-08-01,-445.1326262714461
1889-09-01,-443.561366146968
1889-10-01,-445.9761879179739
1889-11-01,-447.1782056106458
1889-12-01,-449.4116233916975
1890-01-01,-444.87565719269026
1890-02-01,-446.34174580672976
1890-03-01,-447.324267361201
1890-04-01,-444.639758653076
1890-05-01,-440.66161109350935
1890-06-01,-441.6298682880714
1890-07-01,-442.597392778903
1890-08-01,-450.24363371128425
1890-09-01,-453.7490696789933
1890-10-01,-459.27808410570674
1890-11-01,-465.26632089002095
1890-12-01,-467.85806880892045
1891-01-01,-460.8552858541056
1891-02-01,-460.7832520746149
1891-03-01,-464.20574080458545
1891-04-01,-461.795551981867
1891-05-01,-460.93500479573794
1891-06-01,-460.59530451447824
1891-07-01,-461.1409676699651
1891-08-01,-457.27546651988195
1891-09-01,-446.06315368770447
1891-10-01,-446.05899722294464
1891-11-01,-446.43799357479327
1891-12-01,-442.47830158641113
1892-01-01,-436.57174661234853
1892-02-01,-436.31605925837147
1892-03-01,-431.1297712026194
1892-04-01,-429.48123581893117
1892-05-01,-429.4781951320995
1892-06-01,-430.26925263587486
1892-07-01,-433.99875897586236
1892-08-01,-433.7643845602601
1892-09-01,-437.30599977502476
1892-10-01,-434.51649026986274
1892-11-01,-438.4903623422824
1892-12-01,-441.6277216407415
1893-01-01,-443.99417037260264
1893-02-01,-447.85605056369536
1893-03-01,-449.5991291815144
1893-04-01,-448.09308698869836
1893-05-01,-458.02791973937985
1893-06-01,-460.85421671720627
1893-07-01,-468.95006750242607
1893-08-01,-467.34523275340894
1893-09-01,-464.09623646899666
1893-10-01,-462.21938237604945
1893-11-01,-457.460062200138
1893-12-01,-460.1274162520963
1894-01-01,-459.4326652503731
1894-02-01,-456.19533418612707
1894-03-01,-449.15468222376614
1894-04-01,-447.4755040186228
1894-05-01,-452.2802039310917
1894-06-01,-453.9803655925731
1894-07-01,-456.52485792338643
1894-08-01,-455.4347016808112
1894-09-01,-455.19058457791994
1894-10-01,-455.7247449017543
1894-11-01,-455.7355837651521
1894-12-01,-455.17023116593515
1895-01-01,-456.56989033109005
1895-02-01,-458.2583658250445
1895-03-01,-458.2502147244708
1895-04-01,-458.1639306590449
1895-05-01,-453.32375841531393
1895-06-01,-452.5565645545833
1895-07-01,-450.3703656982165
1895-08-01,-446.76969691432816
1895-09-01,-445.95313336773467
1895-10-01,-447.83741107272436
1895-11-01,-452.1541732795243
1895-12-01,-457.85047698064534
1896-01-01,-457.59654473197713
1896-02-01,-450.8511456706236
1896-03-01,-452.83355695661555
1896-04-01,-449.92224146649426
1896-05-01,-448.6719553093668
1896-06-01,-449.14576249224393
1896-07-01,-457.39522963096323
1896-08-01,-464.17252129103576
1896-09-01,-458.2848460698153
1896-10-01,-459.10173403708797
1896-11-01,-454.5832347645463
1896-12-01,-459.0341298004572
1897-01-01,-455.6632951847453
1897-02-01,-456.80146935287195
1897-03-01,-456.50312512875405
1897-04-01,-458.52336025729954
1897-05-01,-456.18890868242545
1897-06-01,-450.5831964784267
1897-07-01,-444.977484274428
1897-08-01,-442.35979517388034
1897-09-01,-439.71454619217354
1897-10-01,-442.2546055948342
1897-11-01,-446.97386112715236
1897-12-01,-444.1849237966551
1898-01-01,-440.56370934902196
1898-02-01,-442.6958302218736
1898-03-01,-448.7274535700116
1898-04-01,-450.91780250655233
1898-05-01,-451.2363465842719
1898-06-01,-437.4667806516544
1898-07-01,-434.97928317056085
1898-08-01,-429.69017599565666
1898-09-01,-429.96790261524666
1898-10-01,-433.0177038652239
1898-11-01,-428.2918752687634
1898-12-01,-421.2643935576332
1899-01-01,-409.4634237747078
1899-02-01,-407.7648397297944
1899-03-01,-405.3496125903191
1899-04-01,-405.4772748019972
1899-05-01,-412.576676631333
1899-06-01,-418.32692625874347
1899-07-01,-414.9462093508259
1899-08-01,-412.9221204375924
1899-09-01,-420.56623207562956
1899-10-01,-423.1401927087074
1899-11-01,-422.08461107767187
1899-12-01,-434.23595754051223
1900-01-01,-432.3502254640796
1900-02-01,-431.4472534491844
1900-03-01,-430.27609730982545
1900-04-01,-428.41213487954485
1900-05-01,-432.07512428517396
1900-06-01,-434.68455298278656
1900-07-01,-436.3583608844912
1900-08-01,-432.7535829704831
1900-09-01,-437.78340845452016
1900-10-01,-431.06081369115634
1900-11-01,-419.72030863334555
1900-12-01,-408.3065649578832
1901-01-01,-405.4912658169246
1901-02-01,-399.02186389020676
1901-03-01,-392.6761632098784
1901-04-01,-374.85142425557825
1901-05-01,-384.9835599704712
1901-06-01,-365.94949229179497
1901-07-01,-382.42131684054175
1901-08-01,-382.0826012328756
1901-09-01,-385.33125524418006
1901-10-01,-387.47268830368887
1901-11-01,-385.67598388303685
1901-12-01,-390.8942789960955
1902-01-01,-384.71874661993627
1902-02-01,-383.06324345885366
1902-03-01,-382.814847379389
1902-04-01,-378.5211839883119
1902-05-01,-381.2191705310354
1902-06-01,-384.5460907199482
1902-07-01,-380.2134021398043
1902-08-01,-372.67404104311015
1902-09-01,-374.5005248984219
1902-10-01,-393.193054317103
1902-11-01,-394.4908937444542
1902-12-01,-400.5669578059518
1903-01-01,-393.61279149957437
1903-02-01,-394.6952942314483
1903-03-01,-396.06852708179287
1903-04-01,-403.4215941191996
1903-05-01,-402.9563075687528
1903-06-01,-412.5179817803212
1903-07-01,-420.0374880754002
1903-08-01,-425.05328529979454
1903-09-01,-430.3363635623331
1903-10-01,-433.4819830247016
1903-11-01,-431.40984971939054
1903-12-01,-424.74295509631656
1904-01-01,-425.6443121803534
1904-02-01,-432.880626645927
1904-03-01,-431.7518269078121
1904-04-01,-426.5528350494657
1904-05-01,-426.375232020539
1904-06-01,-426.14918855447945
1904-07-01,-419.94071597154664
1904-08-01,-416.4691347022784
1904-09-01,-411.27893684839614
1904-10-01,-401.6074496108705
1904-11-01,-396.1595559798231
1904-12-01,-394.40321164600607
1905-01-01,-390.4287163280352
1905-02-01,-382.27710198521834
1905-03-01,-374.5710635412247
1905-04-01,-377.00376746473006
1905-05-01,-384.67238370808883
1905-06-01,-382.4145593938707
1905-07-01,-376.32607354083996
1905-08-01,-371.16404967326196
1905-09-01,-368.19625262121883
1905-10-01,-365.26059690821774
1905-11-01,-368.6781311039364
1905-12-01,-365.85368591599797
1906-01-01,-358.58778454288654
1906-02-01,-360.11684549924075
1906-03-01,-365.39061740204403
1906-04-01,-368.2472007222077
1906-05-01,-375.9195561087175
1906-06-01,-373.2932603749704
1906-07-01,-371.9245129289184
1906-08-01,-361.6147347894372
1906-09-01,-357.38375375561935
1906-10-01,-368.3642093169345
1906-11-01,-366.29636604488246
1906-12-01,-370.32543219498245
1907-01-01,-374.10164225869914
1907-02-01,-384.40856015419223
1907-03-01,-401.44468602608924
1907-04-01,-400.61418614218667
1907-05-01,-410.0819664515388
1907-06-01,-417.0001813740343
1907-07-01,-410.932765993585
1907-08-01,-423.28829507084083
1907-09-01,-424.9174027686043
1907-10-01,-442.64774942679685
1907-11-01,-445.3264598322611
1907-12-01,-435.77201483290503
1908-01-01,-428.2602556186279
1908-02-01,-432.12533843199844
1908-03-01,-426.2531613147662
1908-04-01,-419.8846033470812
1908-05-01,-411.49449878452737
1908-06-01,-411.28515472880474
1908-07-01,-407.0527713280953
1908-08-01,-399.8166955225224
1908-09-01,-401.7429131675003
1908-10-01,-401.4478607663085
1908-11-01,-391.55913505903334
1908-12-01,-389.3090951342484
1909-01-01,-386.7558095954514
1909-02-01,-394.0358140094026
1909-03-01,-391.5407696370577
1909-04-01,-387.0945793473253
1909-05-01,-382.7267671316447
1909-06-01,-381.2221583656378
1909-07-01,-378.4321875089506
1909-08-01,-375.60162298871194
1909-09-01,-377.3070282292292
1909-10-01,-380.240406006267
1909-11-01,-382.98425902945496
1909-12-01,-382.49071089819563
1910-01-01,-384.8700084829429
1910-02-01,-391.68680675938947
1910-03-01,-390.56601974460716
1910-04-01,-396.6554755318008
1910-05-01,-396.3807519654209
1910-06-01,-403.42664002377114
1910-07-01,-412.14005267704107
1910-08-01,-406.5944917449317
1910-09-01,-403.8471653480605
1910-10-01,-390.68795768544055
1910-11-01,-387.2081914205105
1910-12-01,-392.4752360716648
1911-01-01,-388.034683420217
1911-02-01,-378.9198027675385
1911-03-01,-383.20251253940944
1911-04-01,-378.00417069754366
1911-05-01,-373.7510120848658
1911-06-01,-369.70706892101566
1911-07-01,-372.7060848782975
1911-08-01,-388.2597687355202
1911-09-01,-400.25860364073753
1911-10-01,-399.25880994069587
1911-11-01,-390.337692875008
1911-12-01,-387.63347303493697
1912-01-01,-389.31538780437324
1912-02-01,-392.7778424124625
1912-03-01,-391.17857423292594
1912-04-01,-390.8140005110355
1912-05-01,-391.0010130176363
1912-06-01,-389.23229562557685
1912-07-01,-389.03025046041824
1912-08-01,-386.54339157847903
1912-09-01,-387.3446364594938
1912-10-01,-387.71929625856876
1912-11-01,-389.8179224615948
1912-12-01,-394.80765708590286
1913-01-01,-398.029591828056
1913-02-01,-404.3373496445578
1913-03-01,-407.5946954094581
1913-04-01,-407.7865611944817
1913-05-01,-410.7545582343638
1913-06-01,-420.59702789872364
1913-07-01,-420.0321218146473
1913-08-01,-415.8754545478422
1913-09-01,-415.9160494468066
1913-10-01,-420.98340094203786
1913-11-01,-426.3529792637025
1913-12-01,-425.1100825845042
1914-01-01,-418.93786576974037
1914-02-01,-415.3401669390728
1914-03-01,-418.3777914535342
1914-04-01,-420.65790115506536
1914-05-01,-421.22878558170964
1914-06-01,-421.9943672173615
1914-07-01,-431.9179722223468
1914-08-01,-434.6357882644144
1914-09-01,-434.64419092805576
1914-10-01,-433.31194341005596
1914-11-01,-434.6603779719122
1914-12-01,-439.4512584088062
1915-01-01,-437.01251301790006
1915-02-01,-437.5312689928488
1915-03-01,-432.56874602602613
1915-04-01,-423.2417577034132
1915-05-01,-428.202129995994
1915-06-01,-426.50599078882294
1915-07-01,-427.0383911928194
1915-08-01,-420.705412153305
1915-09-01,-414.927720331277
1915-10-01,-407.6007979756499
1915-11-01,-403.31737568391327
1915-12-01,-402.92716501181997
1916-01-01,-407.1917335773614
1916-02-01,-409.49288247479734
1916-03-01,-411.50861539153107
1916-04-01,-414.7275744443575
1916-05-01,-412.61258025281825
1916-06-01,-412.45881323392905
1916-07-01,-414.67545676089355
1916-08-01,-414.84763742687267
1916-09-01,-411.1436897447321
1916-10-01,-408.890937715607
1916-11-01,-407.85719228669166
1916-12-01,-415.86175832264826
1917-01-01,-420.88732698512774
1917-02-01,-433.0832775302953
1917-03-01,-428.6893938015038
1917-04-01,-437.4700589369915
1917-05-01,-444.11418545909237
1917-06-01,-443.4197519759298
1917-07-01,-445.1662316101051
1917-08-01,-450.87175125280976
1917-09-01,-459.39318522030294
1917-10-01,-467.2145042840178
1917-11-01,-476.2256908796338
1917-12-01,-480.92515830494455
1918-01-01,-477.28298554368257
1918-02-01,-474.9908250967044
1918-03-01,-476.36928639437997
1918-04-01,-478.63712973897276
1918-05-01,-477.51422160514346
1918-06-01,-478.64795856414236
1918-07-01,-480.30897349449947
1918-08-01,-481.19289980881246
1918-09-01,-483.3795617243015
1918-10-01,-481.1716064248153
1918-11-01,-480.44660954441656
1918-12-01,-483.3904463086024
1919-01-01,-483.976953468861
1919-02-01,-482.0540627941313
1919-03-01,-480.3061827138962
1919-04-01,-478.79146608453107
1919-05-01,-473.26949379276874
1919-06-01,-470.54272239833887
1919-07-01,-470.02101181141984
1919-08-01,-478.6447397255283
1919-09-01,-477.635034764549
1919-10-01,-474.2252935679465
1919-11-01,-479.1699487887736
1919-12-01,-483.81153967106417
1920-01-01,-486.4595630965391
1920-02-01,-494.5521169707933
1920-03-01,-489.69432722159223
1920-04-01,-492.6751854475787
1920-05-01,-498.87395018689097
1920-06-01,-501.178627239602
1920-07-01,-500.95107293406636
1920-08-01,-502.2725559137792
1920-09-01,-498.6591099841788
1920-10-01,-498.2156865828439
1920-11-01,-501.78891169873873
1920-12-01,-507.10732864058946
1921-01-01,-502.76369391583023
1921-02-01,-501.1458334675229
1921-03-01,-502.68938627713
1921-04-01,-501.65379934151895
1921-05-01,-497.8577281919221
1921-06-01,-503.70861002115186
1921-07-01,-504.32005052117285
1921-08-01,-505.2106324993458
1921-09-01,-502.72891907038075
1921-10-01,-501.76182237191506
1921-11-01,-497.4093363428158
1921-12-01,-494.2302612076512
1922-01-01,-492.55372508343055
1922-02-01,-490.722223592549
1922-03-01,-486.5474138716666
1922-04-01,-481.1288625045166
1922-05-01,-477.43155464296296
1922-06-01,-478.3369967427693
1922-07-01,-478.1713543025123
1922-08-01,-473.36779817501184
1922-09-01,-470.6860470872345
1922-10-01,-468.95788075020204
1922-11-01,-474.78471584944026
1922-12-01,-475.54892197851836
1923-01-01,-473.6190122301352
1923-02-01,-469.2638889484024
1923-03-01,-467.53062968196997
1923-04-01,-471.8647949259106
1923-05-01,-476.7438974743942
1923-06-01,-480.999213343664
1923-07-01,-485.14126390870524
1923-08-01,-484.1909922525062
1923-09-01,-484.1101148445522
1923-10-01,-485.9235959666506
1923-11-01,-483.2404358828437
1923-12-01,-480.1180195253975
1924-01-01,-477.0008844174399
1924-02-01,-476.0274139020251
1924-03-01,-477.4011517356444
1924-04-01,-479.12866155211105
1924-05-01,-479.4686824063342
1924-06-01,-477.66288208385174
1924-07-01,-473.6988157203363
1924-08-01,-469.64224727363757
1924-09-01,-471.2315942905307
1924-10-01,-473.13033175162144
1924-11-01,-467.4351679152313
1924-12-01,-462.2326284489552
1925-01-01,-457.5454890691823
1925-02-01,-455.8875389173607
1925-03-01,-459.6303048382656
1925-04-01,-460.22610430766105
1925-05-01,-457.1636198279962
1925-06-01,-456.31518964063
1925-07-01,-454.27844322975665
1925-08-01,-452.6391350665606
1925-09-01,-449.79600373341293
1925-10-01,-445.6419732276685
1925-11-01,-443.6688414168788
1925-12-01,-440.8218352218484
1926-01-01,-438.77585533050143
1926-02-01,-438.55888755514
1926-03-01,-447.15906295299476
1926-04-01,-451.3751715303902
1926-05-01,-449.8647509542551
1926-06-01,-443.21976191096155
1926-07-01,-436.20274437387263
1926-08-01,-429.93105642240585
1926-09-01,-428.50120002176163
1926-10-01,-432.558635283304
1926-11-01,-431.4525693246794
1926-12-01,-428.18879398166564
1927-01-01,-427.62076896014
1927-02-01,-423.953536568693
1927-03-01,-420.8112303747022
1927-04-01,-417.032972047839
1927-05-01,-412.46032188194573
1927-06-01,-412.10577034215817
1927-07-01,-405.8070214423457
1927-08-01,-395.83661093301737
1927-09-01,-386.68259449837103
1927-10-01,-390.57351695554866
1927-11-01,-385.35683553761385
1927-12-01,-380.90873317303436
1928-01-01,-380.11887863782954
1928-02-01,-380.3413777295103
1928-03-01,-369.87064913429833
1928-04-01,-356.9291856215666
1928-05-01,-351.3920348454361
1928-06-01,-361.17734561317786
1928-07-01,-359.59526800725655
1928-08-01,-352.6116152492583
1928-09-01,-339.54734428113744
1928-10-01,-333.4429778699163
1928-11-01,-317.10995999701845
1928-12-01,-314.6713583689926
1929-01-01,-295.43638492219077
1929-02-01,-293.96429821260926
1929-03-01,-287.4346231997103
1929-04-01,-287.53182648906596
1929-05-01,-284.81486096764417
1929-06-01,-280.88068247668883
1929-07-01,-258.14196005498013
1929-08-01,-240.11851322157327
1929-09-01,-226.7629216183165
1929-10-01,-263.5662798734115
1929-11-01,-345.9699383046585
1929-12-01,-335.545101876836
1930-01-01,-330.77269280407734
1930-02-01,-314.07991745079624
1930-03-01,-302.7667094406258
1930-04-01,-287.1048258874074
1930-05-01,-302.81821162349746
1930-06-01,-328.99042847075873
1930-07-01,-331.5583966940605
1930-08-01,-333.34266131607217
1930-09-01,-334.8442489787031
1930-10-01,-366.76004402639387
1930-11-01,-380.79851709011575
1930-12-01,-390.64051544816834
1931-01-01,-382.82281295708094
1931-02-01,-365.6678871696281
1931-03-01,-360.3841654595117
1931-04-01,-379.69010763782836
1931-05-01,-396.4054235001753
1931-06-01,-400.0155797766473
1931-07-01,-394.2118143057743
1931-08-01,-399.66983324614074
1931-09-01,-424.916483695747
1931-10-01,-444.21241122015635
1931-11-01,-440.74244797727215
1931-12-01,-465.336435637808
1932-01-01,-465.04474119183544
1932-02-01,-464.52561665104645
1932-03-01,-463.3910691899407
